,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,Fireplaces,GarageYrBlt,GarageCars,GarageArea,MSZoning,Neighborhood,BsmtQual,BsmtFinType1,CentralAir,GarageType,SalePrice
222,6,1975,1975,713,811,1552,1,1975.0,2,434,RL,NWAmes,Gd,ALQ,Y,Attchd,12.100156419938624
223,4,1971,1971,864,864,864,0,1989.0,2,576,RL,NAmes,TA,ALQ,Y,Detchd,11.48246625748552
224,10,2003,2003,2392,2392,2392,1,2003.0,3,968,RL,NridgHt,Ex,GLQ,Y,Attchd,12.864240107194092
225,5,1971,1971,630,630,1302,0,1991.0,1,280,RM,BrDale,TA,Unf,Y,Detchd,11.626254150277232
226,7,1995,1995,1203,1214,2520,1,1995.0,3,721,RL,NoRidge,Gd,GLQ,Y,Attchd,12.577636201962656
227,6,1970,1970,483,483,987,0,1987.0,1,280,RM,BrDale,TA,Rec,Y,Detchd,11.571194373094205
228,5,1967,1967,912,912,912,1,1974.0,1,336,RL,Sawyer,TA,ALQ,Y,Detchd,11.736069016284437
229,7,2005,2006,1373,1555,1555,1,2005.0,2,430,RL,Blmngtn,Gd,GLQ,Y,Attchd,12.167851432709975
230,6,1959,1959,1194,1194,1194,0,1959.0,1,312,RL,NAmes,TA,Unf,Y,Attchd,11.904967552746252
231,8,1995,1996,1462,1490,2794,1,1995.0,3,810,RL,NoRidge,Gd,GLQ,Y,Attchd,12.90669184092882
232,6,1972,1972,483,483,987,1,1972.0,1,288,RM,BrDale,TA,Unf,Y,Attchd,11.456355113481834
233,5,1976,1976,894,894,894,0,1976.0,1,308,RL,CollgCr,TA,LwQ,Y,Attchd,11.761346823468706
234,6,2002,2002,860,860,1960,2,2002.0,2,440,RL,Gilbert,Gd,GLQ,Y,BuiltIn,12.285345826424681
235,6,1971,1971,483,483,987,0,1971.0,1,264,RM,BrDale,TA,ALQ,Y,Detchd,11.401993904262946
236,7,2004,2004,1414,1414,1414,0,2004.0,2,494,RL,CollgCr,Gd,GLQ,Y,Attchd,12.130810161029627
237,7,1993,2003,996,1014,1744,0,1993.0,2,457,RL,SawyerW,Gd,BLQ,Y,Attchd,12.178187442040638
238,8,2007,2007,1694,1694,1694,0,2007.0,3,818,RL,NridgHt,Ex,Unf,Y,Attchd,12.669806661762314
239,6,1945,1950,735,798,1487,1,1949.0,1,220,RL,Edwards,TA,LwQ,Y,Detchd,11.635143097694478
240,8,2008,2008,1566,1566,1566,0,2008.0,2,750,FV,Somerst,Gd,GLQ,Y,Attchd,12.478006361013815
241,5,1945,1997,686,866,866,0,1978.5061638868744,0,0,RM,OldTown,TA,ALQ,Y,No,11.612770799939945
242,5,1900,1950,540,889,1440,0,1940.0,1,352,RM,OldTown,TA,Unf,N,Attchd,11.27720313144916
243,6,1980,1980,626,626,1217,1,1980.0,1,288,RL,SawyerW,Gd,Unf,Y,Attchd,11.695247021764184
244,7,1994,2002,948,1222,2110,2,1994.0,2,463,RL,SawyerW,Gd,GLQ,Y,Attchd,12.230765258120545
245,7,1988,1988,1845,1872,1872,1,1988.0,2,604,RL,NWAmes,Gd,GLQ,Y,Attchd,12.394624752074764
246,6,1910,1950,1020,908,1928,0,1910.0,1,440,RM,OldTown,Fa,Unf,N,Detchd,11.827736204810263
247,6,1954,1954,1367,1375,1375,1,1954.0,2,451,RL,NAmes,TA,Unf,Y,Attchd,11.84939770159144
248,7,2003,2003,840,840,1668,0,2003.0,2,500,RL,CollgCr,Gd,Unf,Y,Attchd,12.100712129872347
249,6,1958,2006,1444,1444,2144,2,1958.0,2,389,RL,ClearCr,Gd,Rec,Y,Attchd,12.531772785169476
250,3,1940,1966,728,1306,1306,0,1978.5061638868744,0,0,RL,BrkSide,TA,Unf,Y,No,11.245046019814627
251,8,2006,2007,1573,1625,1625,1,2006.0,2,538,RM,Crawfor,Gd,GLQ,Y,Attchd,12.367340793126296
252,6,2004,2004,798,798,1640,0,2004.0,2,520,RL,SawyerW,Gd,Unf,Y,Attchd,12.061046873479915
253,6,1964,1991,1302,1302,1302,0,1964.0,1,309,RL,NAmes,Gd,LwQ,Y,Attchd,11.970350312009105
254,5,1957,1957,1314,1314,1314,0,1957.0,1,294,RL,NAmes,TA,Rec,Y,Attchd,11.884489021402711
255,7,1999,1999,975,1005,2291,1,1999.0,2,429,RL,Gilbert,Gd,Unf,Y,BuiltIn,12.345834587905333
256,6,2003,2003,864,864,1728,0,2003.0,2,673,FV,Somerst,Gd,Rec,Y,Attchd,12.24288661865289
257,7,2006,2006,1604,1604,1604,1,2006.0,2,660,RL,CollgCr,Gd,GLQ,Y,Attchd,12.301382825334498
258,7,2001,2001,963,963,1792,1,2001.0,2,564,RL,CollgCr,Gd,GLQ,Y,Attchd,12.352335152508426
259,5,1956,1956,0,882,882,0,1956.0,1,308,RM,OldTown,No,No,Y,Detchd,11.48246625748552
260,6,1962,1962,1362,1382,1382,1,1991.0,2,884,RL,NAmes,TA,Rec,Y,Attchd,12.078239274020289
261,8,2007,2007,1482,1482,2574,1,2007.0,3,868,RL,CollgCr,Ex,Unf,Y,BuiltIn,12.528156144699286
262,6,1977,1995,506,1212,1212,1,1978.0,2,492,RL,Sawyer,Gd,ALQ,Y,Attchd,11.925035115797062
263,5,1929,2001,926,926,1316,0,1974.0,2,484,RM,OldTown,TA,LwQ,Y,Detchd,11.77528972943772
264,5,1925,2004,680,764,764,0,1965.0,2,504,RM,OldTown,Fa,Unf,N,Detchd,11.198214720130528
265,6,1981,1981,1422,1422,1422,1,1981.0,2,576,RL,NWAmes,Gd,GLQ,Y,Attchd,12.075394321888057
266,6,1997,1997,802,802,1511,1,1997.0,2,413,RL,Gilbert,Gd,GLQ,Y,Attchd,12.128111104060462
267,5,1939,1997,720,1052,2192,1,1939.0,1,240,RL,SWISU,TA,LwQ,Y,Detchd,12.097930486910471
268,5,1940,1955,740,778,778,1,1966.0,1,924,RM,IDOTRR,TA,ALQ,Y,Detchd,11.699405031912846
269,6,1976,1976,1143,1113,1113,1,1987.0,1,504,RL,Edwards,TA,BLQ,Y,Attchd,11.904967552746252
270,8,2006,2006,1095,1095,1939,1,2006.0,3,1053,FV,Somerst,Gd,Unf,Y,Attchd,12.491251587763836
271,7,1954,2005,1385,1363,1363,2,1954.0,2,439,RL,ClearCr,Gd,LwQ,Y,Attchd,12.394624752074764
272,8,1999,2007,1152,1164,2270,1,1999.0,3,671,RL,NoRidge,Gd,GLQ,Y,Attchd,12.577636201962656
273,6,1958,1988,1240,1632,1632,1,1958.0,1,338,RL,NAmes,TA,Rec,Y,Attchd,11.842229212112828
274,5,1982,1982,816,816,816,0,1982.0,1,264,RL,Mitchel,TA,ALQ,Y,Attchd,11.732060994886899
275,7,1925,2007,952,952,1548,0,1978.0,2,672,RL,BrkSide,TA,Unf,N,Detchd,12.230765258120545
276,7,2003,2003,1560,1560,1560,0,2003.0,2,573,RL,Mitchel,Ex,Unf,Y,Attchd,12.211060187041213
277,4,1951,1951,864,864,864,0,1951.0,2,400,RL,Gilbert,TA,LwQ,Y,Detchd,11.856515169360305
278,9,2006,2007,2121,2121,2121,1,2007.0,3,732,RL,NridgHt,Ex,Unf,Y,Attchd,12.936751613811438
279,7,1977,1977,1160,1156,2022,1,1977.0,2,505,RL,ClearCr,Gd,BLQ,Y,Attchd,12.165250651009918
280,7,1989,1989,807,1175,1982,1,1989.0,2,575,RL,SawyerW,Gd,GLQ,Y,Attchd,12.339291489316397
281,6,2006,2006,1262,1262,1262,0,2006.0,2,572,FV,Somerst,Gd,GLQ,Y,Attchd,12.128111104060462
282,7,2007,2008,1314,1314,1314,1,2008.0,2,626,RL,NridgHt,Gd,GLQ,Y,Attchd,12.24288661865289
283,8,2008,2009,1468,1468,1468,1,2008.0,3,898,RL,Somerst,Gd,Unf,Y,Attchd,12.407379502235209
284,6,1992,1992,1575,1575,1575,0,1992.0,2,529,RL,SawyerW,Gd,GLQ,Y,Attchd,12.096257779522967
285,7,2006,2007,625,625,1250,0,2006.0,2,528,FV,Somerst,Gd,Unf,Y,Detchd,12.011880916165731
286,6,1962,1981,912,1085,1734,1,1962.0,2,440,RL,NAmes,TA,Rec,Y,Attchd,11.976659481202368
287,4,1971,1971,858,858,858,0,1978.5061638868744,0,0,RL,NAmes,TA,BLQ,Y,No,11.385092093460344
288,5,1967,1967,882,900,900,0,1970.0,1,280,RL,Sawyer,TA,BLQ,Y,Detchd,11.711776323715394
289,6,1915,2003,698,698,1396,0,2003.0,1,384,RL,BrkSide,TA,Unf,Y,Detchd,11.941944326032129
290,8,2006,2006,1079,1079,1919,1,2006.0,2,685,RL,CollgCr,Gd,Unf,Y,Attchd,12.359780370124389
291,5,1912,2000,780,936,1716,0,1978.5061638868744,0,0,RL,SWISU,TA,Rec,N,No,11.819674600139235
292,5,1949,2008,768,1148,1716,1,1949.0,1,281,RL,Edwards,TA,LwQ,Y,Attchd,11.782952602183288
293,7,1977,1994,795,1468,2263,1,1977.0,2,539,RL,NWAmes,TA,ALQ,Y,Attchd,12.367340793126296
294,6,1953,1953,1416,1644,1644,2,1953.0,2,418,RL,NAmes,TA,GLQ,Y,Attchd,12.025749091398891
295,6,1984,1984,1003,1003,1003,0,1984.0,2,588,RL,Mitchel,TA,GLQ,Y,Detchd,11.867097278690842
296,5,1950,1950,910,910,1558,0,1950.0,1,282,RM,IDOTRR,TA,BLQ,Y,Attchd,11.931635799828413
297,7,1997,1998,975,975,1950,1,1997.0,2,576,FV,Somerst,Gd,BLQ,Y,Detchd,12.384218830913648
298,6,1968,1968,702,1041,1743,1,1968.0,2,539,RL,NWAmes,TA,ALQ,Y,Attchd,12.072541252905651
299,6,1950,2004,1092,1152,1152,1,1950.0,1,300,RL,Crawfor,TA,Unf,Y,Attchd,11.973509872299472
300,5,1953,1953,1165,1336,1336,2,1953.0,1,375,RL,Crawfor,TA,BLQ,Y,Attchd,11.964001084330445
301,8,1998,1999,1028,1210,2452,1,1998.0,2,683,RL,CollgCr,Gd,GLQ,Y,BuiltIn,12.495003937382387
302,7,2001,2002,1541,1541,1541,1,2001.0,3,843,RL,CollgCr,Gd,Unf,Y,Attchd,12.230765258120545
303,5,1972,1972,894,894,894,0,1975.0,2,552,RL,CollgCr,TA,ALQ,Y,Attchd,11.917723684090689
304,7,1880,2002,1470,1675,3493,1,2003.0,3,870,RM,OldTown,TA,Unf,Y,Attchd,12.594730635321957
305,8,2004,2005,2000,2000,2000,0,2004.0,3,888,RL,CollgCr,Gd,GLQ,Y,Attchd,12.631013530138995
306,7,1990,1991,700,1122,2243,1,1990.0,3,746,RL,SawyerW,Gd,ALQ,Y,Attchd,12.323855681186558
307,6,1920,1950,319,1035,1406,0,1978.5061638868744,0,0,RM,IDOTRR,TA,Unf,Y,No,11.401993904262946
308,4,1940,1950,861,861,861,0,1961.0,2,539,RL,Edwards,TA,BLQ,Y,Detchd,11.320553572322773
309,9,2003,2004,1896,1944,1944,3,2003.0,3,708,RL,NridgHt,Ex,GLQ,Y,Attchd,12.793859310432293
310,6,1993,1994,697,697,1501,1,1993.0,2,420,RL,Gilbert,Gd,ALQ,Y,Attchd,12.017330520933296
311,6,1948,2002,972,972,972,1,1948.0,1,240,RL,NAmes,TA,ALQ,Y,Detchd,11.790557201568507
312,5,1939,1950,793,793,1118,1,1939.0,2,410,RM,OldTown,Gd,Rec,Y,Detchd,11.694413341015606
313,7,1965,1965,2136,2036,2036,2,1965.0,2,513,RL,Timber,Gd,ALQ,Y,Attchd,12.834681304952548
314,7,1925,1990,728,832,1641,1,1925.0,2,546,RM,OldTown,TA,LwQ,Y,Detchd,12.089538829274222
315,7,2004,2005,716,716,1432,1,2004.0,2,432,RL,Gilbert,Gd,GLQ,Y,Attchd,12.146853285870202
316,7,1980,1980,845,1153,2353,1,1983.0,2,484,RL,NWAmes,Gd,GLQ,Y,Attchd,12.468436909997665
317,8,2006,2006,1088,1088,1959,1,2006.0,3,1025,FV,Somerst,Gd,Unf,Y,Attchd,12.506177237980511
318,7,1993,1993,1347,1372,2646,1,1993.0,3,656,RL,NoRidge,Gd,GLQ,Y,Attchd,12.468436909997665
319,7,1980,1980,1372,1472,1472,2,1980.0,2,588,RL,NWAmes,Gd,GLQ,Y,Attchd,12.141534124392603
320,9,2006,2006,1249,1249,2596,0,2006.0,3,840,RL,NridgHt,Ex,Unf,Y,Attchd,12.7444443677961
321,8,2004,2004,1136,1136,2468,1,2004.0,3,872,RL,NridgHt,Ex,GLQ,Y,BuiltIn,12.777052192115912
322,7,1986,1987,1502,1553,2730,1,1987.0,2,576,RL,SawyerW,TA,LwQ,Y,Attchd,12.614865543731012
323,3,1955,2005,1162,1163,1163,0,1955.0,1,220,RM,OldTown,TA,ALQ,Y,Attchd,11.745425111208464
324,7,1967,2007,710,1898,2978,1,1961.0,2,564,RL,NAmes,Gd,Unf,Y,BuiltIn,12.396693005138824
325,5,1941,1950,720,803,803,0,1941.0,2,360,RM,IDOTRR,TA,BLQ,N,Detchd,11.37366339763672
326,8,1993,1993,1719,1719,1719,2,1993.0,2,473,RL,Veenker,Gd,GLQ,Y,Attchd,12.688498794774466
327,6,1960,1960,1383,1383,1383,0,1960.0,1,292,RL,NAmes,TA,Rec,Y,Attchd,11.886211674714158
328,6,1916,1994,844,1445,2134,0,1930.0,2,441,RL,BrkSide,TA,Unf,N,Detchd,12.27606501735021
329,5,1920,1950,596,596,1192,0,1920.0,1,189,RM,IDOTRR,TA,Unf,N,Detchd,11.26446410567173
330,5,1964,1964,1728,1728,1728,0,2002.0,1,352,RL,NAmes,TA,GLQ,Y,Detchd,11.686878772093667
331,5,1958,1992,1056,1056,1056,0,1958.0,1,308,RL,NAmes,TA,Rec,Y,Attchd,11.842229212112828
332,8,2003,2004,3206,1629,1629,1,2003.0,3,880,RL,NridgHt,Gd,GLQ,Y,Attchd,12.556729517143344
333,7,2004,2004,1358,1358,1358,1,2004.0,2,484,RM,NridgHt,Gd,GLQ,Y,Attchd,12.240474072247506
334,6,1998,1998,943,943,1638,2,1998.0,2,472,RL,Gilbert,Gd,GLQ,Y,Attchd,12.165250651009918
335,5,1965,1965,1499,1619,1786,2,1965.0,2,529,RL,Timber,TA,ALQ,Y,Attchd,12.341258918085241
336,9,2005,2006,1922,1922,1922,1,2005.0,3,676,RL,StoneBr,Ex,GLQ,Y,Attchd,12.841129801965447
337,7,2002,2003,1536,1536,1536,0,2002.0,2,532,RL,CollgCr,Gd,GLQ,Y,Attchd,12.273731294003989
338,7,1984,1998,1208,1621,1621,0,1984.0,2,440,RL,NWAmes,Gd,ALQ,Y,Attchd,12.218495165528731
339,6,1958,1998,1215,1215,1215,0,1958.0,1,297,RL,NAmes,TA,Rec,Y,Attchd,11.951180395901384
340,8,2002,2002,967,993,1908,0,2002.0,2,431,RL,Timber,Gd,Unf,Y,Attchd,12.220468525813907
341,4,1950,1950,721,841,841,0,1950.0,1,294,RH,SawyerW,TA,Unf,Y,CarPort,11.314474526246391
342,3,1949,1950,0,1040,1040,0,1949.0,2,400,RL,NAmes,No,No,N,Detchd,11.379394072345706
343,9,2005,2005,1684,1684,1684,1,2005.0,2,564,RL,NridgHt,Ex,GLQ,Y,Attchd,12.491251587763836
344,5,1976,1976,536,536,1112,0,1976.0,1,336,RM,MeadowV,Gd,Rec,Y,Attchd,11.350406535472453
345,6,1939,1950,972,972,1577,1,1939.0,1,312,RL,BrkSide,TA,Unf,Y,Detchd,11.850825253582627
346,6,1960,1998,958,958,958,0,1960.0,1,301,RL,NAmes,TA,BLQ,Y,Attchd,11.928340903931561
347,6,1960,1960,1478,1478,1478,2,1960.0,2,498,RL,NAmes,TA,BLQ,Y,Attchd,11.967180737247824
348,7,2003,2004,764,764,1626,0,2003.0,2,474,RL,NridgHt,Gd,GLQ,Y,BuiltIn,11.944707881395766
349,9,2005,2006,1848,1848,2728,2,2006.0,3,706,RL,NridgHt,Ex,GLQ,Y,Attchd,12.988040814744458
350,9,2007,2007,1869,1869,1869,1,2007.0,2,617,RL,NridgHt,Ex,Unf,Y,Attchd,12.669998467265833
351,7,1986,1986,1453,1453,1453,1,1986.0,2,445,RL,ClearCr,Gd,GLQ,Y,Attchd,12.154779351142624
352,5,1941,1950,616,616,1111,0,1941.0,1,200,RL,Edwards,TA,LwQ,N,Detchd,11.461632170582678
353,6,1928,2003,624,720,720,0,2005.0,2,484,RM,OldTown,TA,Unf,Y,Detchd,11.570250531589497
354,6,1940,2000,940,1192,1595,2,1940.0,1,240,RL,SWISU,TA,LwQ,Y,Attchd,11.84939770159144
355,6,1995,1995,1200,1200,1200,0,1995.0,2,521,RL,CollgCr,Gd,ALQ,Y,Attchd,12.086725887897607
356,6,1992,1992,1158,1167,1167,0,1992.0,2,400,RL,Gilbert,Gd,GLQ,Y,Attchd,12.061046873479915
357,5,1976,1976,1142,1142,1142,1,1976.0,2,528,RM,MeadowV,Gd,ALQ,Y,Attchd,11.805595078933049
358,5,1958,1958,1062,1352,1352,0,1958.0,1,288,RL,ClearCr,TA,BLQ,Y,BuiltIn,11.77528972943772
359,8,1998,1998,1086,1086,1924,1,1998.0,2,592,RL,NoRidge,Gd,GLQ,Y,Attchd,12.542544882151386
360,6,1978,1978,888,912,912,1,1978.0,2,470,RL,Mitchel,Gd,GLQ,Y,Attchd,11.957611286231675
361,5,1940,1982,883,988,1505,0,1940.0,1,240,RL,BrkSide,TA,Rec,Y,Detchd,11.884489021402711
362,7,2003,2003,0,495,1922,1,2003.0,2,672,RL,Edwards,No,No,Y,BuiltIn,12.198544379109382
363,6,1972,2007,483,483,987,0,1972.0,1,264,RM,BrDale,TA,ALQ,Y,Detchd,11.678439903447801
364,6,1976,1976,796,790,1574,1,1976.0,2,566,RL,NWAmes,Gd,GLQ,Y,Attchd,12.154779351142624
365,5,1920,1997,672,672,1344,0,1964.0,1,468,RM,IDOTRR,TA,Rec,Y,Detchd,11.898187865760873
366,6,1963,1963,1394,1394,1394,2,1963.0,2,514,RL,NAmes,Gd,BLQ,Y,Attchd,11.976659481202368
367,6,1962,1962,1099,1431,1431,1,1962.0,1,296,RL,NAmes,Gd,GLQ,Y,Basment,12.013700752882718
368,5,1954,1954,1268,1268,1268,1,1954.0,1,244,RL,NAmes,TA,LwQ,Y,Attchd,11.790557201568507
369,5,1959,2006,1063,1287,1287,1,1997.0,2,576,RL,NAmes,TA,ALQ,Y,Detchd,11.99535161421452
370,6,2000,2000,953,953,1664,1,2000.0,2,460,RL,Gilbert,Gd,Unf,Y,Attchd,12.05757263721173
371,4,1959,1959,0,1120,1588,1,1991.0,2,680,RL,ClearCr,No,No,Y,Detchd,11.808813773969108
372,6,1984,1984,744,752,752,0,1984.0,1,264,RL,SawyerW,Gd,ALQ,Y,Attchd,11.736069016284437
373,5,1953,1953,608,1319,1319,0,1953.0,1,270,RL,NAmes,TA,BLQ,Y,Attchd,11.719939634354555
374,7,2003,2004,847,847,1928,1,2003.0,2,434,RL,CollgCr,Gd,Unf,Y,BuiltIn,12.299107511497363
375,1,1922,1950,683,904,904,0,1978.5061638868744,0,0,RL,Edwards,Fa,BLQ,N,No,11.018629143155449
376,5,1996,1996,870,914,914,0,1998.0,2,576,RL,CollgCr,Gd,GLQ,Y,Detchd,11.904967552746252
377,8,2004,2005,1580,1580,2466,1,2004.0,2,610,FV,Somerst,Gd,Unf,Y,Attchd,12.736700896592344
378,9,2010,2010,1856,1856,1856,1,2010.0,3,834,RL,StoneBr,Ex,GLQ,Y,Attchd,12.885202034321916
379,6,2000,2000,982,1007,1800,1,2000.0,2,463,RL,Gilbert,Gd,Unf,Y,Attchd,12.095141084822892
380,5,1924,1950,1026,1026,1691,1,1924.0,1,308,RL,SWISU,TA,LwQ,Y,Detchd,11.751942365440728
381,7,2006,2006,1293,1301,1301,1,2006.0,2,572,FV,Somerst,Gd,Unf,Y,Attchd,12.142866569626381
382,7,2006,2006,939,939,1797,0,2006.0,2,639,RL,CollgCr,Gd,Unf,Y,Attchd,12.271392111650817
383,6,1928,1950,784,784,784,0,1950.0,2,360,RH,SawyerW,Fa,Unf,N,Detchd,11.238488619268468
384,6,1992,1992,1580,1079,1953,2,1992.0,2,501,RL,ClearCr,Gd,GLQ,Y,Attchd,12.388394202324129
385,8,2004,2005,1256,1269,1269,1,2004.0,2,430,RL,Blmngtn,Gd,GLQ,Y,Attchd,12.165250651009918
386,5,1910,1996,658,658,1184,0,1978.5061638868744,0,0,RL,Edwards,TA,Unf,Y,No,11.302204433654575
387,6,1976,1976,1041,1125,1125,1,1977.0,1,352,RL,Edwards,TA,ALQ,Y,Detchd,11.736069016284437
388,7,1999,2000,1468,1479,1479,0,1999.0,2,577,RL,CollgCr,Gd,Unf,Y,Attchd,12.160028707028767
389,10,2007,2008,1682,1742,2332,1,2008.0,3,846,RL,NridgHt,Ex,GLQ,Y,BuiltIn,12.962194625251508
390,5,1900,1950,861,961,1367,0,1978.0,1,384,RL,Edwards,TA,Rec,Y,Detchd,11.686878772093667
391,6,2001,2002,804,804,1961,1,2001.0,2,560,RL,Mitchel,Ex,ALQ,Y,BuiltIn,12.2783933071098
392,5,1959,1959,0,882,882,0,1959.0,1,294,RL,NAmes,No,No,Y,Attchd,11.575900264131617
393,4,1941,1950,788,788,788,2,1978.5061638868744,0,0,RL,BrkSide,TA,Rec,Y,No,11.512925464970229
394,5,1940,1950,735,735,1034,0,1940.0,1,240,RL,OldTown,TA,Unf,Y,Detchd,11.59910316121128
395,5,1956,1956,1144,1144,1144,0,1956.0,1,596,RL,Edwards,TA,BLQ,Y,Attchd,11.76756768334381
396,5,1972,1972,894,894,894,0,1985.0,2,600,RL,CollgCr,TA,Rec,Y,Detchd,11.719939634354555
397,5,1962,1962,864,876,1812,1,1962.0,1,264,RL,NAmes,TA,ALQ,Y,Attchd,12.040608205802641
398,5,1920,1950,961,1077,1077,0,1920.0,1,338,RM,IDOTRR,Fa,Unf,Y,Detchd,11.112447898373103
399,7,2006,2007,1092,1112,1550,0,2007.0,2,438,FV,Somerst,Gd,GLQ,Y,Attchd,12.392552212472792
400,8,1996,1996,1260,1288,1288,2,1996.0,2,500,RL,Veenker,Gd,GLQ,Y,Attchd,12.411052226216713
401,7,2005,2005,1310,1310,1310,1,2005.0,2,400,RL,CollgCr,Gd,GLQ,Y,Attchd,12.01364014498549
402,5,1940,1997,672,672,672,0,1940.0,1,240,RL,Sawyer,TA,Unf,Y,Detchd,11.589886506106357
403,8,1998,1998,1141,1165,2263,1,1998.0,2,420,RL,NoRidge,Gd,Unf,Y,BuiltIn,12.460714863903755
404,6,1995,1996,806,806,1572,1,1995.0,2,373,RL,Gilbert,Gd,Unf,Y,BuiltIn,12.031719258385396
405,4,1976,1993,1281,1620,1620,1,1993.0,2,490,RL,Sawyer,TA,BLQ,Y,Attchd,11.918390573078392
406,6,1936,1950,1064,1166,1639,0,1936.0,1,240,RL,SWISU,TA,Unf,Y,Detchd,11.652687407345388
407,6,1915,1976,840,840,1680,0,1960.0,1,308,RL,Crawfor,Gd,Unf,Y,Attchd,12.083905011555967
408,7,2006,2006,1063,1071,2172,1,2006.0,3,947,RL,NridgHt,Ex,Unf,Y,Attchd,12.542544882151386
409,8,2007,2008,1034,1050,2078,1,2008.0,3,836,FV,Somerst,Ex,GLQ,Y,Attchd,12.73596533201339
410,5,1958,1958,1276,1276,1276,0,1958.0,1,350,RL,Edwards,TA,Unf,Y,Attchd,11.002099841204238
411,5,1955,1955,1056,1056,1056,0,1955.0,2,572,RL,Gilbert,TA,Rec,N,Attchd,11.884489021402711
412,7,2009,2009,1470,1478,1478,1,2009.0,2,484,FV,Somerst,Ex,GLQ,Y,Attchd,12.310432660854417
413,5,1927,1950,1008,1028,1028,1,1927.0,2,360,RM,OldTown,TA,Unf,Y,Detchd,11.652687407345388
414,7,1993,1993,1080,1080,2097,1,1993.0,3,678,RL,SawyerW,Gd,BLQ,Y,Attchd,12.337100907936577
415,7,2007,2007,1340,1340,1340,0,2007.0,2,396,RL,Gilbert,Gd,GLQ,Y,Attchd,12.106992367829498
416,6,1978,1978,672,672,1400,1,1978.0,2,440,RL,Sawyer,TA,ALQ,Y,Attchd,11.915051671812877
417,6,1918,1950,1370,1370,2624,1,1918.0,3,864,RL,Crawfor,Gd,BLQ,N,Detchd,12.384218830913648
418,5,1940,1950,756,756,1134,0,1940.0,1,240,RL,Edwards,TA,ALQ,N,Detchd,11.744037185933616
419,5,1968,1968,1056,1056,1056,1,1968.0,1,304,RL,NAmes,TA,BLQ,Y,Attchd,11.863582336583399
420,7,1997,1998,1344,1344,1344,0,1997.0,4,784,RM,Mitchel,Gd,GLQ,Y,Attchd,12.237086699059343
421,6,1977,2000,1602,1602,1602,1,1977.0,2,529,RL,NWAmes,Gd,ALQ,Y,Attchd,12.2783933071098
422,5,1954,1954,988,988,988,0,1954.0,2,520,RL,Mitchel,TA,Unf,Y,Attchd,11.635143097694478
423,8,1998,1998,1470,1470,2630,1,1998.0,3,696,RL,NoRidge,Gd,GLQ,Y,Attchd,12.66032791780777
424,6,1956,1956,1196,1196,1196,1,1956.0,1,297,RL,NAmes,Gd,LwQ,Y,Attchd,11.842229212112828
425,7,1946,1992,651,707,1389,2,1947.0,1,240,RM,OldTown,TA,Unf,Y,Detchd,11.813030057420567
426,7,1989,1989,1518,1644,1644,1,1989.0,2,569,RL,SawyerW,Gd,GLQ,Y,Attchd,12.524526376648708
427,4,1957,1957,907,907,907,0,1964.0,1,352,RL,NAmes,TA,Rec,Y,Detchd,11.59917655301345
428,7,2007,2007,1208,1208,1208,0,2007.0,2,628,RL,CollgCr,Gd,GLQ,Y,Attchd,12.182804018590819
429,6,1988,1988,1392,1412,1412,1,1988.0,2,576,RL,Timber,Gd,GLQ,Y,Attchd,12.072541252905651
430,6,1971,1971,483,483,987,0,1971.0,1,264,RM,BrDale,TA,ALQ,Y,Detchd,11.355101379776661
431,6,1920,1998,901,1088,1198,0,1978.5061638868744,0,0,RM,OldTown,TA,Unf,Y,No,11.288531131754366
432,5,1971,1971,765,765,1365,0,1971.0,2,440,RM,BrDale,TA,ALQ,Y,Detchd,11.715866308966918
433,6,1997,1998,926,926,1604,1,1997.0,2,470,RL,Gilbert,Gd,Unf,Y,Attchd,12.106252310247962
434,4,1972,1972,630,630,630,0,1978.5061638868744,0,0,RM,MeadowV,Gd,ALQ,Y,No,11.302204433654575
435,7,1996,1996,799,827,1661,1,1996.0,2,550,RL,CollgCr,Gd,GLQ,Y,Attchd,12.26434155365415
436,6,1920,1950,648,734,1118,0,1990.0,2,440,RM,OldTown,Fa,Unf,Y,Detchd,11.661345470088502
437,6,1926,2004,884,904,904,0,1926.0,1,180,RM,BrkSide,TA,Unf,Y,Detchd,11.686878772093667
438,5,1913,2002,440,694,694,1,1990.0,1,352,RL,Crawfor,TA,LwQ,N,Detchd,11.411446296020374
439,6,1920,2000,684,684,1196,0,2005.0,2,528,RL,Edwards,TA,Unf,Y,Detchd,11.608235644774552
440,10,2008,2008,3094,2402,2402,2,2008.0,3,672,RL,NridgHt,Ex,GLQ,Y,Attchd,13.226723392728571
441,4,1955,1955,1440,1440,1440,0,1978.5061638868744,0,0,RL,Edwards,TA,ALQ,N,No,11.678439903447801
442,5,1930,1992,1078,1128,1573,1,1930.0,2,360,RM,BrkSide,TA,Unf,Y,Detchd,12.000891794590137
443,7,2006,2007,1258,1258,1258,1,2007.0,3,648,RL,Blmngtn,Ex,Unf,Y,Attchd,12.058152515453552
444,7,1994,1995,915,933,1908,1,1994.0,2,493,RL,CollgCr,Gd,GLQ,Y,Attchd,12.254862809699606
445,6,1956,1956,1436,1689,1689,1,1956.0,2,480,RL,Edwards,TA,Unf,Y,Attchd,11.755871643580617
